Company,Revenue_2022,Revenue%change_2022,Profits_in_millions_2022,Market_value_2022,Employees_2022
Walmart,572754.0,2.4,13673.0,409795.0,2300000
Amazon,469822.0,21.7,33364.0,1658807.3,1608000
Apple,365817.0,33.3,94680.0,2849537.6,154000
CVS Health,292111.0,8.7,7910.0,132839.2,258000
UnitedHealth Group,287597.0,11.8,17285.0,479830.3,350000
Exxon Mobil,285640.0,57.4,23040.0,349652.4,63000
Berkshire Hathaway,276094.0,12.5,89795.0,779542.3,372000
Alphabet,257637.0,41.2,76033.0,1842326.1,156500
McKesson,238228.0,3.1,-4539.0,45857.8,67500
AmerisourceBergen,213988.8,12.7,1539.9,32355.7,40000
Costco Wholesale,195929.0,17.5,5007.0,255230.7,288000
Cigna,174078.0,8.5,5365.0,76286.3,72963
AT&T,168864.0,-1.7,20081.0,169262.4,202600
Microsoft,168088.0,17.5,61271.0,2311358.9,181000
Cardinal Health,162467.0,6.2,611.0,15709.4,46827
Chevron,162465.0,71.6,15625.0,317120.1,42595
Home Depot,151157.0,14.4,16433.0,309312.6,490600
Walgreens Boots Alliance,148579.0,6.5,2542.0,38671.1,258500
Marathon Petroleum,141032.0,58.5,9738.0,47758.1,17700
Anthem,138639.0,13.8,6104.0,118533.5,98200
Kroger,137888.0,4.1,1655.0,41496.2,420000
Ford Motor,136341.0,7.2,17937.0,67958.2,183000
Verizon Communications,133613.0,4.1,22065.0,213837.1,118400
JPMorgan Chase,127202.0,-1.8,48334.0,402526.9,271025
General Motors,127004.0,3.7,10019.0,63555.2,157000
Centene,125982.0,13.4,1347.0,49072.2,72500
Meta Platforms,117929.0,37.2,39370.0,605251.0,71970
Comcast,116385.0,12.4,14159.0,212245.8,189000
Phillips 66,114852.0,75.4,1317.0,41561.0,14000
Valero Energy,108332.0,80.2,930.0,41572.2,9804
Dell Technologies,106995.0,13.6,5563.0,38164.4,133000
Target,106005.0,13.3,6946.0,98134.4,450000
Fannie Mae,101543.0,-4.6,22176.0,909.1,7400
Lowe's,96250.0,7.4,8442.0,133761.1,270000
Bank of America,93851.0,0.1,31978.0,332433.3,208248
Johnson & Johnson,93775.0,13.6,20878.0,466046.7,141700
FedEx,83959.0,21.3,5231.0,59971.3,484000
Humana,83064.0,7.7,2933.0,55154.9,95500
Wells Fargo,82407.0,2.6,21548.0,184225.0,247848
Pfizer,81288.0,94.0,21979.0,292385.3,79000
Citigroup,79865.0,-10.1,21952.0,105330.1,221768
PepsiCo,79474.0,12.9,7618.0,231528.2,309000
Intel,79024.0,1.5,19868.0,202635.8,121100
Procter & Gamble,76118.0,7.3,14306.0,366271.6,101000
General Electric,74196.0,-6.8,-6520.0,100810.2,168000
MetLife,71080.0,4.8,6554.0,57986.5,43000
Prudential Financial,70934.0,24.4,7724.0,44482.2,40916
Albertsons,69690.4,11.6,850.2,16063.7,300000
Walt Disney,67418.0,3.1,1995.0,249718.1,171000
Energy Transfer,67417.0,73.1,5470.0,34496.9,12558
Lockheed Martin,67044.0,2.5,6315.0,117648.2,114000
Freddie Mac,65898.0,-0.5,12109.0,510.3,7301
Goldman Sachs Group,64989.0,21.5,21635.0,117667.6,43900
Raytheon Technologies,64388.0,13.8,3864.0,147640.9,174000
HP,63487.0,12.1,6503.0,38237.2,51000
Boeing,62286.0,7.1,-4202.0,113058.7,142000
Morgan Stanley,61121.0,17.4,15034.0,155685.6,74814
HCA Healthcare,58752.0,14.0,6956.0,75691.9,244000
AbbVie,56197.0,22.7,11542.0,286332.4,50000
Dow,54968.0,42.6,6311.0,46839.7,35700
Tesla,53823.0,70.7,5519.0,1113707.8,99290
Allstate,53228.0,18.8,1599.0,38553.7,54500
Best Buy,51761.0,9.5,2454.0,20473.2,81375
Charter Communications,51682.0,7.5,4654.0,112803.4,93700
Sysco,51297.8,-3.0,524.2,41433.1,57710
Merck,51216.0,6.7,13049.0,207400.5,67500
Caterpillar,50971.0,22.1,6489.0,119406.6,107700
Cisco Systems,49818.0,1.0,10591.0,231636.4,79500
TJX,48550.0,51.1,3282.8,71195.3,340000
ConocoPhillips,48349.0,151.1,8079.0,129605.1,9900
Progressive,47702.0,11.8,3350.9,66670.3,49077
Tyson Foods,47049.0,8.9,3047.0,32487.8,137000
Bristol-Myers Squibb,46385.0,9.1,6994.0,155203.5,32200
Nike,44538.0,19.1,5727.0,212779.1,73300
Deere,44024.0,23.9,5963.0,127456.6,75550
American Express,43663.0,14.3,8060.0,141613.0,64000
Abbott Laboratories,43075.0,24.5,7071.0,208725.8,113000
Plains GP Holdings,42078.0,80.7,60.0,2242.9,4100
Enterprise Products Partners,40806.9,50.0,4637.7,56172.4,6911
Oracle,40479.0,3.6,13746.0,220736.6,132000
Thermo Fisher Scientific,39211.0,21.7,7725.0,231057.4,129000
Coca-Cola,38655.0,17.1,9771.0,268769.7,79000
General Dynamics,38469.0,1.4,3257.0,67081.0,103100
Nucor,36483.9,81.2,6827.5,39954.0,28800
Exelon,36347.0,10.0,1706.0,46683.9,31518
Northrop Grumman,35667.0,-3.1,7005.0,69811.9,88000
3M,35355.0,9.9,5921.0,84738.3,95000
Travelers,34816.0,8.9,3662.0,44129.4,30492
Arrow Electronics,34477.0,20.2,1108.2,7951.3,20700
Honeywell International,34392.0,5.4,5542.0,133381.0,99000
Dollar General,34220.4,1.4,2399.2,50953.0,163000
Qualcomm,33566.0,42.6,9043.0,172228.1,45000
Capital One Financial,32033.0,1.2,12390.0,53260.4,50767
TD Synnex,31614.2,28.1,395.1,9853.6,27000
Philip Morris International,31405.0,9.4,9109.0,145614.7,69600
World Fuel Services,31337.0,53.9,73.7,1715.5,4414
Performance Food Group,30398.9,21.2,40.7,7880.9,22885
Delta Air Lines,29899.0,74.9,280.0,25322.0,83000
American Airlines Group,29882.0,72.4,-1993.0,11847.2,123400
Netflix,29697.8,18.8,5116.2,166304.1,11300
US Foods Holding,29487.0,28.8,164.0,8392.3,28000
Danaher,29453.0,32.2,6433.0,209993.4,79000
Jabil,29285.0,7.4,696.0,8857.3,238000
Starbucks,29060.6,23.6,4199.3,104642.8,383000
Mondelez International,28720.0,8.0,4300.0,87159.2,79000
Eli Lilly,28318.4,15.4,5581.7,272723.6,35238
Hewlett Packard Enterprise,27784.0,3.0,3427.0,21725.3,60400
D.R. Horton,27774.2,36.7,4175.8,26403.2,11788
Molina Healthcare,27771.0,43.0,659.0,19572.9,14000
CBRE Group,27746.0,16.5,1836.6,30414.2,105000
Micron Technology,27705.0,29.3,5861.0,86977.2,43000
Broadcom,27450.0,14.9,6736.0,257086.5,20000
Gilead Sciences,27305.0,10.6,6225.0,74656.5,14400
PBF Energy,27253.4,80.3,231.0,2932.6,3418
Lennar,27130.7,20.6,4430.1,23413.0,10753
United Natural Foods,26992.0,0.9,149.0,2409.3,28300
NRG Energy,26989.0,196.8,2187.0,9289.0,6635
Nvidia,26914.0,61.4,9752.0,684878.6,22473
Occidental Petroleum,26772.0,60.5,2322.0,53160.2,11678
Salesforce,26492.0,24.7,1444.0,210196.8,73541
Dollar Tree,26321.2,3.2,1327.9,36051.4,136226
KKR,26141.3,171.5,4666.5,51542.9,3238
Kraft Heinz,26042.0,-0.5,1012.0,48248.6,36000
Amgen,25979.0,2.2,5893.0,134700.8,24200
AutoNation,25844.0,26.7,1373.0,6111.4,22200
Penske Automotive Group,25554.7,25.0,1187.8,7196.7,24797
PayPal Holdings,25371.0,18.3,4169.0,134732.8,30900
Macy's,25292.0,39.8,1430.0,7123.2,88857
Duke Energy,24677.0,5.2,3908.0,85967.0,27605
United Airlines Holdings,24634.0,60.4,-1964.0,15049.7,84100
Visa,24105.0,10.3,12311.0,480022.5,21500
Rite Aid,24043.4,9.6,-90.9,488.1,50000
Cummins,24021.0,21.3,2131.0,29140.9,59900
U.S. Bancorp,23714.0,-6.0,7963.0,78929.8,68796
Paccar,23522.3,25.6,1852.1,30619.7,28500
McDonald's,23222.9,20.9,7545.2,183873.6,200000
Southern,23113.0,13.4,2393.0,76877.0,27164
C.H. Robinson Worldwide,23102.1,42.5,844.2,13855.8,16877
Truist Financial,23064.0,-5.6,6440.0,75353.9,51462
Applied Materials,23063.0,34.1,5888.0,116431.4,27000
Freeport-McMoRan,22845.0,60.9,4306.0,72360.8,24700
Lithia Motors,22831.7,74.0,1060.0,8909.8,21150
Hartford Financial Services Group,22390.0,9.1,2365.0,23815.6,18100
Aflac,22106.0,-0.2,4325.0,41812.8,12447
Whirlpool,21985.0,13.0,1783.0,10101.2,69000
Union Pacific,21804.0,11.6,6523.0,171681.6,32124
International Paper,21780.0,5.8,1752.0,17301.1,38200
Altria Group,21111.0,1.3,2475.0,94951.7,6000
CDW,20820.8,12.7,988.6,24140.2,13900
ManpowerGroup,20724.4,15.1,382.4,5025.6,30000
PG&E,20642.0,11.8,-102.0,29433.7,26000
Baker Hughes,20502.0,-1.0,-219.0,37410.2,54000
Cleveland-Cliffs,20444.0,281.8,2988.0,16891.2,26000
United States Steel,20275.0,108.1,4174.0,9832.3,24540
Becton Dickinson,20248.0,18.3,2092.0,75749.1,75000
CarMax,20092.1,-6.2,746.9,15598.9,26889
Sherwin-Williams,19944.6,8.6,1864.4,65037.9,61626
Builders FirstSource,19893.9,132.4,1725.4,11408.9,28000
Marsh & McLennan,19820.0,15.1,3143.0,85681.3,83000
PNC Financial Services Group,19698.0,-18.1,5674.0,77203.4,58547
Lumen Technologies,19687.0,-4.9,2033.0,11533.4,36000
Avnet,19534.7,10.8,193.1,4016.9,14500
Tenet Healthcare,19485.0,10.5,914.0,9387.6,88968
Kimberly-Clark,19440.0,1.6,1814.0,41496.1,45000
Kohl's,19433.0,21.8,938.0,7774.6,67000
BlackRock,19374.0,19.6,5901.0,116186.2,18400
Jones Lang LaSalle,19367.0,16.7,961.6,11945.5,98200
Lear,19263.1,13.0,373.9,8513.1,160100
Lincoln National,19230.0,10.3,1405.0,11271.6,10848
Charles Schwab,18996.0,56.9,5855.0,159675.9,33400
Ross Stores,18916.2,50.9,1722.6,31741.7,100000
Mastercard,18884.0,23.4,8687.0,349330.5,24000
Genuine Parts,18870.5,8.5,898.8,17888.1,52000
WestRock,18746.1,6.6,838.3,12379.0,49900
EOG Resources,18642.0,69.0,4664.0,69796.0,2800
Cognizant Technology Solutions,18507.0,11.1,2137.0,47035.0,330600
Steel Dynamics,18408.9,91.7,3214.1,15811.5,10640
Texas Instruments,18344.0,26.9,7769.0,169329.6,31000
Emerson Electric,18236.0,8.6,2303.0,58241.7,86700
WESCO International,18217.5,47.8,465.4,6598.5,18000
General Mills,18127.0,2.8,2339.8,40781.8,35000
Tenneco,18035.0,17.3,35.0,1523.0,71000
Waste Management,17931.0,17.8,1816.0,65802.8,48500
DISH Network,17881.1,15.4,2410.6,16743.1,14500
L3Harris Technologies,17814.0,-2.1,1846.0,47969.6,47000
DXC Technology,17729.0,-9.4,-149.0,7977.3,134000
Block,17661.2,86.0,166.3,78655.9,8521
Goodyear Tire & Rubber,17478.0,41.9,764.0,4029.3,72000
Uber Technologies,17455.0,56.7,-496.0,69753.0,29300
Colgate-Palmolive,17421.0,5.8,2166.0,63742.2,33800
Stanley Black & Decker,17252.7,18.7,1689.2,22843.3,71300
DuPont,17160.0,-15.9,6467.0,37739.7,28000
Stryker,17108.0,19.2,1994.0,100978.1,46000
NextEra Energy,17069.0,-5.2,3573.0,166264.1,15000
Targa Resources,16949.8,105.2,71.2,17243.8,2430
Western Digital,16922.0,1.1,821.0,15536.4,65600
PPG Industries,16802.0,21.5,1439.0,30951.9,49300
American Electric Power,16792.0,12.6,2488.1,50338.6,16688
Gap,16670.0,20.8,256.0,5206.6,97000
BJ's Wholesale Club,16667.3,8.0,426.7,9146.9,34000
Reinsurance Group of America,16658.0,14.1,617.0,7354.6,3500
Kinder Morgan,16610.0,42.0,1784.0,42878.1,10529
Oneok,16540.3,93.6,1499.7,31516.0,2847
Expeditors Intl. of Washington,16523.5,72.4,1415.5,17268.8,19070
Advanced Micro Devices,16434.0,68.3,3162.0,177936.1,15500
Fiserv,16226.0,9.3,1334.0,66132.8,44000
Estée Lauder,16215.0,13.4,2870.0,97672.1,53320
Bank of New York Mellon,16158.0,-4.6,3759.0,40056.7,49100
Laboratory Corp. of America,16120.9,15.3,2377.3,24625.8,71725
Regeneron Pharmaceuticals,16071.7,89.1,8075.3,75806.0,10368
Cheniere Energy,15864.0,69.5,-2343.0,35272.3,1550
Southwest Airlines,15790.0,74.5,977.0,27129.3,55093
Adobe,15785.0,22.7,4822.0,215280.5,25988
Synchrony Financial,15752.0,-4.4,4221.0,18145.5,18000
Corteva,15655.0,10.1,1759.0,41774.9,21000
Fidelity National Financial,15643.0,45.1,2422.0,13849.6,28290
DTE Energy,15369.0,26.2,907.0,25614.6,10300
Murphy USA,15318.8,61.2,396.9,4888.6,10430
Halliburton,15295.0,5.9,1457.0,34028.9,40000
Automatic Data Processing,15005.4,2.8,2598.5,95577.1,56000
Edison International,14905.0,9.8,759.0,26693.8,13003
Nordstrom,14789.0,38.0,178.0,4321.3,72000
Loews,14657.0,16.5,1578.0,15971.3,10340
Pioneer Natural Resources,14643.0,119.0,2118.0,60728.3,1932
AutoZone,14629.6,15.8,2170.3,40582.6,85050
Lam Research,14626.2,45.6,3908.5,74996.7,14100
Illinois Tool Works,14455.0,15.0,2694.0,65311.9,45000
Parker-Hannifin,14347.6,4.8,1746.1,36456.8,54640
Omnicom Group,14289.4,8.5,1407.8,17565.7,71700
Principal Financial,14262.7,-3.2,1710.6,19176.7,18600
Dominion Energy,14218.0,-11.8,3288.0,68883.0,17100
Kellogg,14181.0,3.0,1488.0,21890.2,31000
Fluor,14156.8,-10.9,-440.2,4051.7,40582
AECOM,14112.4,-13.9,173.2,10856.5,51000
Reliance Steel & Aluminum,14093.3,59.9,1413.0,11313.5,13950
Jacobs Engineering Group,14092.6,3.8,477.0,17807.4,53500
Corning,14082.0,24.6,1906.0,31212.8,61200
Qurate Retail,14044.0,-0.9,340.0,1807.4,26745
PulteGroup,13926.9,26.2,1946.3,10115.7,6182
Fidelity National Information Services,13877.0,10.6,417.0,61215.1,65000
IQVIA Holdings,13874.0,22.1,966.0,44140.8,79000
Marriott International,13857.0,31.1,1099.0,57514.9,120000
Berry Global Group,13850.0,18.3,733.0,7832.4,47000
Ball,13811.0,17.2,878.0,28909.1,24300
Group 1 Automotive,13801.7,27.2,552.1,2859.9,13711
Leidos Holdings,13737.0,11.7,753.0,14727.7,43000
Wayfair,13708.0,-3.1,-131.0,11641.6,16681
Consolidated Edison,13676.0,11.7,1346.0,33525.3,13871
Ameriprise Financial,13443.0,12.4,2760.0,33213.0,12000
O'Reilly Automotive,13327.6,14.8,2164.7,45410.4,76158
Global Partners,13248.3,59.2,60.8,927.1,2960
Discover Financial Services,13221.0,2.1,5449.0,31076.7,16700
Rocket Companies,13175.6,-17.6,308.2,21905.9,26000
LKQ,13088.5,12.6,1090.9,12941.4,46000
W.W. Grainger,13022.0,10.4,1043.0,26358.0,23450
Quanta Services,12980.2,15.9,486.0,18779.5,43700
Crown Holdings,12979.0,12.1,-560.0,15460.6,26000
Fox,12909.0,4.9,2150.0,21423.2,9000
Markel,12846.4,32.0,2425.0,20037.5,20300
Carvana,12814.0,129.4,-135.0,19549.5,21000
XPO Logistics,12806.0,-21.2,336.0,8356.9,44700
Baxter International,12784.0,9.5,1284.0,39017.9,60000
Ecolab,12733.1,-0.1,1129.9,50548.4,47000
Tractor Supply,12731.1,19.9,997.1,26171.6,34000
Andersons,12728.8,55.1,104.0,1708.2,2334
Keurig Dr Pepper,12683.0,9.2,2146.0,53748.2,27500
Universal Health Services,12642.1,9.4,991.6,10843.1,78850
CSX,12522.0,18.3,3781.0,81587.8,20919
Henry Schein,12401.0,22.6,631.2,11960.1,21600
Sonic Automotive,12396.4,26.9,348.9,1728.8,10200
eBay,12394.0,9.2,13608.0,33641.9,10800
Textron,12382.0,6.3,746.0,16090.6,33000
Community Health Systems,12368.0,4.9,230.0,1598.6,58500
Mosaic,12357.4,42.3,1630.6,24492.6,12525
Thor Industries,12317.4,50.8,659.9,4330.9,31000
Dick's Sporting Goods,12293.4,28.3,1519.9,7986.6,34300
Newmont,12222.0,6.3,1166.0,62968.1,14400
Devon Energy,12206.0,139.8,2813.0,39274.1,1600
J.B. Hunt Transport Services,12168.3,26.3,760.8,21052.9,33045
Alcoa,12152.0,30.9,429.0,16603.4,12200
Aramark,12096.0,-5.7,-90.8,9655.5,248300
Vistra,12077.0,5.5,-1274.0,10434.7,5060
State Street,12030.0,-0.4,2693.0,31891.8,38784
Unum Group,12013.8,-8.7,824.2,6382.8,10200
Alleghany,12004.1,34.9,1034.9,11396.1,13313
Boston Scientific,11888.0,19.9,1041.0,63310.2,41000
Entergy,11742.9,16.1,1118.5,23760.4,12369
International Flavors & Fragrances,11656.0,129.3,270.0,33455.6,24000
DaVita,11618.8,0.6,978.5,10892.5,69000
Assurant,11410.0,13.0,1372.4,10493.1,15600
Liberty Media,11400.0,21.8,398.0,15239.1,6886
Hormel Foods,11386.2,18.5,908.8,28089.2,20000
Icahn Enterprises,11328.0,85.0,-518.0,15237.1,19536
Republic Services,11295.0,11.2,1290.4,41841.7,35000
Mohawk Industries,11200.6,17.3,1033.2,8081.8,43000
Conagra Brands,11184.7,1.2,1298.8,16103.5,18600
Norfolk Southern,11142.0,13.8,3005.0,68389.3,18100
AES,11141.0,15.3,-409.0,17172.1,8450
AGCO,11138.3,21.7,897.0,10885.3,23300
Caesars Entertainment,11110.0,219.8,-1019.0,16564.6,49000
Equitable Holdings,11036.0,-11.1,-439.0,12041.2,10000
Advance Auto Parts,10998.0,8.8,616.1,12644.8,54500
Biogen,10981.7,-18.3,1556.1,30950.4,9610
Booking Holdings,10958.0,61.2,1165.0,96022.7,20199
Amphenol,10876.3,26.5,1590.8,45130.1,90000
Quest Diagnostics,10788.0,14.3,1995.0,16348.6,44500
FirstEnergy,10758.0,3.1,1283.0,26181.6,12395
DCP Midstream,10707.0,69.9,391.0,6993.2,1788
Ally Financial,10690.0,-0.8,3060.0,14411.6,10500
Delek US Holdings,10648.2,45.8,-203.5,1500.2,3312
Williams,10627.0,37.7,1517.0,40670.4,4783
Newell Brands,10589.0,12.8,572.0,8902.4,32000
Eastman Chemical,10476.0,23.6,857.0,14450.1,14000
Air Products & Chemicals,10323.0,16.6,2099.1,55409.4,20750
Molson Coors Beverage,10279.7,6.5,1005.7,11631.8,16300
Interpublic Group,10240.7,13.0,952.8,13965.9,55600
Weyerhaeuser,10201.0,35.4,2607.0,28315.0,9214
Altice USA,10090.8,2.0,990.3,5674.1,9000
Raymond James Financial,9910.0,21.3,1403.0,22817.5,15000
EMCOR Group,9903.6,12.6,383.5,5931.8,34000
Eversource Energy,9863.1,10.8,1220.5,30403.2,9227
Yum China Holdings,9853.0,19.2,990.0,17679.0,298500
Asbury Automotive Group,9837.7,37.9,532.4,3714.8,14200
Owens & Minor,9785.3,12.4,221.6,3375.6,17300
Public Service Enterprise Group,9722.0,1.2,-648.0,35145.5,12684
United Rentals,9716.0,13.9,1386.0,25643.3,20400
MGM Resorts International,9680.1,87.5,1254.4,18257.9,60500
Ryder System,9663.0,14.8,519.0,4055.4,42800
Intuit,9633.0,25.4,2062.0,135987.6,17350
Cincinnati Financial,9629.7,27.8,2945.6,21813.3,5166
Univar Solutions,9535.5,15.4,460.6,5459.8,9450
Huntington Ingalls Industries,9524.0,1.7,544.0,7991.0,44000
W.R. Berkley,9455.5,16.7,1022.5,17658.8,7681
Insight Enterprises,9436.1,13.1,219.3,3745.1,11624
News Corp.,9358.0,3.9,330.0,13127.7,24000
American Tower,9356.9,16.4,2567.7,114527.4,6378
Old Republic International,9341.6,30.4,1534.3,7972.8,9600
Burlington Stores,9322.3,61.7,408.8,12112.8,38599
Avis Budget Group,9313.0,72.4,1285.0,14157.0,18500
ODP,9267.0,-4.6,-208.0,2222.2,26000
VF,9238.8,-21.0,407.9,22112.9,33600
Bed Bath & Beyond,9233.0,-17.3,-150.8,2170.5,37600
Seaboard,9229.0,29.5,570.0,4881.6,13200
First American Financial,9221.0,30.1,1241.0,7087.2,22233
Intercontinental Exchange,9168.0,11.2,4058.0,74044.8,8858
PVH,9154.7,28.4,952.3,5210.0,25000
Apollo Global Management,9124.0,332.2,1838.5,37194.0,2153
Jefferies Financial Group,9039.9,30.0,1674.4,7933.9,5556
Hershey,8971.3,10.1,1477.5,44461.5,17805
NVR,8970.1,18.6,1236.7,15010.5,6600
Foot Locker,8958.0,18.7,893.0,2850.0,33244
Dana,8945.0,25.9,197.0,2544.4,40200
SpartanNash,8931.0,-4.5,73.8,1185.1,13300
Olin,8910.6,54.8,1296.7,8062.0,7750
Chewy,8890.8,24.4,-73.8,17147.3,21300
Activision Blizzard,8803.0,8.9,2699.0,62559.7,9800
Toll Brothers,8790.4,24.2,833.6,5515.4,5100
Carlyle Group,8782.1,199.3,2974.7,17427.5,1850
Ovintiv,8658.0,42.2,1416.0,13987.5,1713
UFP Industries,8636.1,67.6,535.6,4790.5,15000
Ulta Beauty,8630.9,40.3,985.8,20837.8,28500
Constellation Brands,8614.9,3.3,1998.0,43763.5,9300
Expedia Group,8598.0,65.4,12.0,30476.5,14800
CommScope Holding,8586.7,1.8,-462.6,1629.7,30000
Celanese,8537.0,51.0,1890.0,15434.1,8529
Global Payments,8523.8,14.8,965.5,38545.6,25000
Owens Corning,8498.0,20.5,995.0,9064.7,20000
Campbell Soup,8476.0,-6.3,1002.0,13446.9,14100
Huntsman,8453.0,40.3,1045.0,8046.9,9000
Franklin Resources,8425.5,51.4,1831.2,14019.3,10300
Avery Dennison,8408.3,20.6,740.1,14327.4,36000
Masco,8375.0,14.9,410.0,12062.7,20000
CenterPoint Energy,8352.0,-5.5,1486.0,19285.8,9418
Fifth Third Bancorp,8329.0,-0.9,2770.0,29511.3,19112
WEC Energy Group,8316.0,14.8,1300.3,31483.5,6938
S&P Global,8297.0,11.5,3024.0,142343.5,22850
Polaris,8252.0,16.1,493.9,6264.1,16000
Williams-Sonoma,8245.9,21.6,1126.3,10376.0,16600
Autoliv,8230.0,10.5,435.0,6691.1,58176
Arthur J. Gallagher,8209.4,17.2,906.8,36598.6,39000
Motorola Solutions,8171.0,10.2,1245.0,40555.9,18700
Zillow Group,8147.4,143.9,-527.8,12287.1,8005
Opendoor Technologies,8021.0,210.5,-662.0,5364.1,2816
J.M. Smucker,8002.7,2.6,876.3,14686.4,7100
Realogy Holdings,7983.0,28.3,343.0,1852.1,9748
Oshkosh,7952.5,16.0,409.4,6703.7,15000
MasTec,7951.8,25.8,328.8,6657.0,27000
APA,7928.0,84.0,973.0,14332.3,2253
Boise Cascade,7926.1,44.8,712.5,2740.4,6130
Dover,7907.1,18.3,1123.8,22610.3,25000
Genworth Financial,7882.0,-9.0,904.0,1917.9,2500
Bath & Body Works,7881.5,-33.5,1333.5,11419.9,32850
Booz Allen Hamilton Holding,7858.9,5.3,609.0,11705.4,27700
Zimmer Biomet Holdings,7836.2,11.6,401.6,26772.3,19500
Westinghouse Air Brake Technologies,7822.0,3.5,558.0,17819.4,25000
Zoetis,7776.0,16.5,2037.0,89008.9,12100
Packaging Corp. of America,7730.3,16.1,841.1,14628.1,15200
LPL Financial Holdings,7720.8,31.5,459.9,14608.8,5919
T. Rowe Price,7671.9,23.6,3082.9,34442.6,7529
Fortune Brands Home & Security,7656.1,25.7,772.4,9830.7,28056
Casey's General Stores,7654.2,-5.6,312.9,7354.4,27583
A-Mark Precious Metals,7613.0,39.4,159.6,890.5,347
Hess,7583.0,57.8,559.0,33155.2,1545
Vertex Pharmaceuticals,7574.4,22.1,2342.1,66436.9,3900
KeyCorp,7561.0,3.1,2625.0,20592.5,16974
Chipotle Mexican Grill,7547.1,26.1,653.0,44347.4,97660
CMS Energy,7538.0,12.8,1353.0,20292.2,8813
Taylor Morrison Home,7501.3,22.4,663.0,3301.6,3000
American Financial Group,7462.0,-5.7,1995.0,12367.8,6600
UGI,7447.0,13.5,1467.0,7599.1,11300
Science Applications International,7394.0,4.8,277.0,5166.1,25090
Avantor,7386.1,15.5,572.6,20629.1,13500
Hanesbrands,7347.8,10.3,77.2,5191.4,58000
Clorox,7341.0,9.2,710.0,17108.7,9000
KBR,7339.0,27.3,18.0,7634.9,28000
TravelCenters of America,7336.8,51.4,58.5,637.5,16540
Hertz Global Holdings,7336.0,39.5,366.0,9508.9,23000
